,coincode,transactionInstant,transactionHash,amount,n-transactions
0x00e1656e45f18ec6747f5a8496fd39b50b38396d,Bomber Coin (BCOIN),2021-10-26 21:30:18,0x55de2c6e50dd0c773fd5d0cae5823abec644c68ec5510c69cd4bc4a812fdf0e3,11.1115877416.1025044410.1615817610.1615817610.1615817610.1615817610.1615817610.1615817610.16158176664.969544385810732513664.969544385810732513664.969544385810732513664.96954438581073251315.95836637999999795210100240.7568783600000040961010.3532457610.3532457610.3532457610.3532457610.3532457610.3532457610.3532457610.3532457610.3532457610.3532457610.3532457610.3532457615.7656142699999989761039.91804245000000307210109.902391844545.7635637799999979521010101010101012.5447236212.544723621110.29037878000000204811.01387573000000102411.01387573000000102422101011501010101010101010101010101010101010017.488698481010101021.655715421.655715421.655715412.36819474210101021.561665421.561665421.561665421.561665421.561665421.5616654105010.7558688621.514038481010111111111111149.058166380049944052102.85128.203305444283667716109.934960869.9349608631.1075443800000020481010.61291781000000102410.61291781000000102410.61291781000000102410.03258088.5327703133563362638.53277031335633626317.32504554000000204817.32504554000000204817.325045540000002048101010103331010101047.87394876102211110101010.40304078100712.07465874999999897691.68669020999998873678.15138803999999590478.15138803999999590432.0457930232.0457930255.42336404000000409610012.2703807610233.73491924000000409633.73491924000000409633.73491924000000409617.939259359999997952101010101010101054.3143402999999938561110101020202019.25931743999999590419.259317439999995904130.88509257499999436810.2999827699999989762211.73905073000000102411.739050730000001024103310.03128984000000204810.032580810.032580850505011.86775468999999897611.8677546899999989769.9677308500000010249.96773085000000102410010025.2141793250501012.4799756412.47997564202020202010101010101111.2219697700000010241016.05527846999999692810.693412730000001024131322219.48155957000000307219.4815595700000030721010101010115.8614354815.86143548101010101010150150150101027.0533894427.0533894427.0533894427.0533894427.0533894427.0533894427.0533894427.0533894427.0533894427.0533894427.0533894427.0533894427.0533894427.0533894427.0533894427.053389441412.5616565810100.507619603050132096100.507619603050132096101010102111111103.352033317722256254103.352033317722256254101053.54066704999999897674.47580426902338678274.475804269023386782303030100.50761960305013209617.3577234617.3577234617.3577234617.3577234617.3577234617.3577234616.0387484416.0387484416.0387484410101016.65166041000000102416.65166041000000102417.616010499999997952101012.06080469000000102412.06080469000000102410.015842870000001024479.26944002465928620925.63729442999999692815.31426544999999897615.31426544999999897610.820521816.443277290000001024101010115.73343342999999897615.73343342999999897615.73343342999999897647.84844930401250507610109.935655849.935655849.9356558410.0975218299999989761010.0479188699999989760.0312.111898590000001024211004.9505074.9505079.921800790000001024516.75876059000000102411.77261074000000204811.77261074000000204813.347115649999998976103030724.20356554000000204824.2035655400000020481019.87085034000000204816.7002605000000020485.44405444999999897610.789343730000001024112.168693547590129097112.168693547590129097112.16869354759012909710101010.51510382999999897610.51510382999999897613.38028658999999897613.3802865899999989761018.47077551000000102427.217326510000001024109110.3384927810.17691884313.70272959000000102417.16606044999999897616.41019446101010.90279574999999897610.90279574999999897610.90279574999999897610.12900778999999897610.129007789999998976101012.2534537410101021.206532621.206532621.20653269.9044708417.16606044999999897682.05648211036815438382.05648211036815438388.10210756426127624213.5103755620.11407848999999897618.7431324300000010242210.531342810.677978630000001024110101011.77261074000000204810.7406327610.740632761038.47766451096512949817.53651844999999897611.56352472101012.2886145812.2886145812.2886145810.452043810.452043811.67341373000000102424.49006758000000204824.49006758000000204810.56143583000000102410.56143583000000102412.46195269000000102412.46195269000000102412.46195269000000102420011.64213567000000102411.64213567000000102411.64213567000000102411.64213567000000102411.64213567000000102411.64213567000000102411.64213567000000102411.64213567000000102411.64213567000000102411.64213567000000102411.64213567000000102411.64213567000000102410.33531636500000153610.224241830000001024101020.775702420000002048111112.2069336412.2069336412.2069336412.2069336412.2069336412.2069336412.2069336426.69441750000000204817.72797257000000307217.72797257000000307217.72797257000000307217.72797257000000307217.72797257000000307217.72797257000000307211.23949425500000051210.9656498615010,807
0xd4a05523839d0d175289054022ee4e01e3dae854,Pancake LPs (Cake-L...),2021-10-25 21:08:38,0x093fb9e90c71436f42ac27f60cb454dec245e9d01a37be307cfe3c2aed2408b9,17.304410395732672353,2
0x371b1eb93a746c801ae345255f5f29b07b36326c,PixelShibaIn... (PSHIB),2021-10-26 15:55:31,0x8e1ea38bad3822c1fadfcd3c8f3e12b35f43b351e958edae52bbe83e4bfba940,"346,037,052.9623917363176986651,051,182,220.490567705449332933242,726,459.6637008920696288672,578,716,400.630973190374915646781,870,018.332108464227150024781,870,018.33210846422715002466,086,192.45760386933064493314,351,175,047.8155982024166734414,351,175,047.8155982024166734476,615,145.481213523512446441,200,303,945.87234520169499423776,615,145.4812135235124464443,598,944,481.9548900541591792051,404,566,800.0658",37
0x7bf18db86ea31000a5290249362c6dbe9fb06608,FATE (FATE),2021-10-26 15:32:19,0x417a6366d2e04973e7b346af9857dd17d1bdf1d71dcfd1e03abd0a7f157aaa38,"2,250,335.77948853339747798612,694.1603117270442780541,251,679.11318072690410952138,711.7251499193887868925,494,142.3138990862979329795,494,142.313899086297932979",8
0xc60d5cdeb237823efde3167c5918d1ccf38f8af7,Cake_Dividen... (Cake_D...),2021-10-26 15:32:19,0x417a6366d2e04973e7b346af9857dd17d1bdf1d71dcfd1e03abd0a7f157aaa38,"310,000,000300,410,444.516745841098323763301,251,679.113180726904109521301,251,679.113180726904109521317,062,553.769872938813456459317,062,553.769872938813456459",8
0x1c54b7fdfd04ec383b7a00f5d77ed19b9ea6fe76,EverETH_Divi... (EverET...),2021-10-26 15:40:52,0xdfe89ad70a4cef5236d663653724fea1eea6bd831bf169b8c31068bd6aadfebe,"348,825,221.147176692656,182,150.00085656,182,150.00085656,182,150.000851,618,782,5001,618,782,5001,618,782,500248,134,550.85248,134,550.85248,134,550.85",15
0x0ed7e52944161450477ee417de9cd3a859b14fd0,Pancake LPs (Cake-L...),2021-10-26 19:22:54,0xf64c6cfe26c4298de7115dc6c69b4946c2e8f29310accb43b5a3cc35b130d18e,7.2351710582541763420.0176826094668137340.0233807999450774970.0233807999450774970.5699039338194579230.5699039338194579230.3343866478941767490.33438664789417674919.2653994480751225790.0651287230687048050.9986412940954113290.3334410160678407750.8683762465463386860.8683762465463386861.3113071123897860271.3113071123897860271.3113071123897860271.3113071123897860271.3113071123897860271.3113071123897860271.3113071123897860271.3113071123897860271.3113071123897860271.3113071123897860271.3113071123897860271.3113071123897860271.3113071123897860271.3113071123897860270.08120687272539236148.47565778619481982848.47565778619481982848.47565778619481982848.47565778619481982848.4756577861948198280.0944565642670004141.75170535107311040.0097355210422652060.0097355210422652069.8084044763497002090.0014305185354317280.0006371636218675190.2556157130382990590.0962565407456426750.0962565407456426750.0962565407456426750.030269309101515568,82
0x5a2df2e3d11dcdb645fba2008c06fdbb114e805e,Vinyl (VINYL),2021-10-26 15:31:40,0xa470d86243db660e5c84d68fa8bca19e22ec580581cd7d6e369c9cd1eed28d1b,"2,085,117.8599399,424.589919585477892051",4
0x04260673729c5f2b9894a467736f3d85f8d34fc8,CryptoPlanes (CPAN),2021-10-26 15:56:25,0x6efd663bb40e2bb908b09a4e8ddbd7d29ad82e6aa66455f54519f406c02668f8,50521.107296089426012645351.3444516023217318462.67286653052532218832428.412688694904657397428.412688694904657397428.412688694904657397508.2740109735979153508.274010973597915350050040.1959290815797460140.1959290815797460140.19592908157974601577.55671825086119119114.879544074232085304121212158.273196707660165979610711.68003510838870310211.68003510838870310211.680035108388703102506104344344349977.6890121622054488877.689012162205448885530530202.202307.61476799089563502850.0802521934430904950.0802521934430904950.08025219344309049512012220.1341085.66574551693913926285.66574551693913926220.0810280280190955842055307307307,81
0x727b531038198e27a1a4d0fd83e1693c1da94892,Block Farm C... (BFC),2021-10-26 21:30:18,0xc916759f3fdd8512f6b571cba249b852326fa5e83e846c35641feaa19d78dd2c,0.8633608070393381942110.21851286206915700810.21851286206915700810.21851286206915700810.21851286206915700810.21851286206915700810.21851286206915700810.218512862069157008162318151991023.55171713274.44.427.2427.2427.2427.2427.2427.2427.2427.2427.2427.2427.2427.243838227.325.42523.0823.0813245171729.0624.942.6374243446658376172.6374243446658376172.63742434466583761729.5171010222216.30000000000000071116.30000000000000071151515181.3134511745436377930.001374216307529936153.30491991911277702916.30000000000000071116.300000000000000711121210275.019858446111198915.019858446111198915.525105555555555555510810.71.582974148656041605151515190.851709861606823593282829401523.1623.1623.1624.03000000000000113724.0300000000000011372517.31590603168550058617.31590603168550058631.4794964201165071614.362424242424245512.95012584609377674828103.1737915809626764073.173791580962676407410242514.74170.1280018296365286485511.9811.9811.9811.9811.9811.9811.9811.9811.9811.9811.9811.9811.9828.552613251453.255038648232910512276.2853919887132112236.20000000000000409636.20000000000000409626.549315857864514826.549315857864514826.5493158578645148577716.91958560712638568973.91667732211956016973.9166773221195601691.91.91.99.46751721.74161614.614.61414141313132012.69945289741412419922.510.410.4137.51358654755365364513.8613.863.88553344629497642910.510.525.525.525.54333328.4228.4228.422467777777777777133242442.48173.3579302327520839893.3579302327520839895.1754391194274140265.17543911942741402610.62.516.528.4224.242719.5999999999999989765.569594677441144626404011129.642117141439.09664195993638502217171726.826.8161.346823102711696371161.34682310271169637110161616888999265.8555555555551059.3899073147416897452.5653179152487460033022.7330.9502454389048622496.4617139471942359826.4617139471942359821046191910.615153242420.44141417171731.531.523.5223.5223.5230.51220205.085.0819.319.32470705517.16782011730308595117.1678201173030859515171727.445524323229120.241387196042253823120.241387196042253823111117777321212217175.4814.24812121755.0531956471021157495.0531956471021157491417170.2403211488307542560.2403211488307542562.5322433362304009982.5322433362304009985.185262610101020277774.243617287588897188171717176.823.33.0708891705302555099.0296503118104601663.401415.265.095.092828282.5431165914864671432.54311659148646714323191916.600000000000001421339262632.5520023235.599999999999999645105555556.3792977346888405696.3792977346888405697.6526353993112078787.65263539931120787854343434310.5716113346209299787.0753119944194998488.58.58.51111142.4649370758083910442.4649370758083910442.46493707580839104254.6319674247410396014.631967424741039601112.0167238336757982722.01672383367579827217.462414.24167.3310963410155331417.3310963410155331415555531.945.4017851765756107039.59.52.227569208808341176222217.5746922252849065617.574692225284906561515155121217101019.10712242424191916.416.416.45555580.3680.361551765232222554.0827005071012725297.57.57.527187.42410.0210.0254.9671244990092179776141426260.0045087823544747090.00450878235447470913.513.5132213.5445566122660537566.82228255.52612419181841332468684.33974792306440148530.330.330.31010136.86.81522.91000000000000071122.9100000000000007111218.455781893833346245159.7700445854776835789.7700445854776835789.7700445854776835789.7700445854776835789.7700445854776835789.7700445854776835789.7700445854776835789.7700445854776835789.7700445854776835789.7700445854776835789.7700445854776835789.7700445854776835789.7700445854776835789.7700445854776835787173.3613.113.1518.2515145325987537911.861225.048.2615.55929453011225226612.50355819095647088712.50355819095647088712.5035581909564708875.045.0418.00036572907038697318.00036572907038697318.0003657290703869735.55.0898363375981446385.0898363375981446381633316.4839.46.7939676026751700716.7939676026751700712.1750305188722556462011.382013.3413.3413.3413.34453232327.47.47.47.47.47.47.461.8047518653971157660.8812.7612.76241326.96431240679812572772020555.611112510.46213374407127538124.959.86254115909468306659.86254115909468306659.86254115909468306696.93993271838674520896.93993271838674520820.328.3228.32211523.123.123.124246.0952638247188063546.0952638247188063546.09526382471880635411.00214228544375742811.00214228544375742855550.89966180246027119427.621936.880000000000004096165.331587913944640695165.331587913944640695165.3315879139446406951239.7727473892622440239.77274738926224402362121262611111150.44042059215736774350.44042059215736774313.413.413.413.413.413.413.413.413.413.413.413.421.0376547065758790021553095.55.526262626261814.6216.300000000000000711332333.00430705957198699418.27877906794504508918.27877906794504508918.27877906794504508966663315.34704538873142664812.519192222222222222235303014.1814.1814.1814.1814.1814.18331726171025.18,1634
