,Race History
,Race #,Speed,Accuracy,Points,Place,Date,Options
857,1853,85 WPM,98.7%,45,2/5,"March 2, 2021",
858,1852,74 WPM,96.2%,50,3/5,"March 2, 2021",
859,1851,68 WPM,96.5%,56,2/5,"March 2, 2021",
860,1850,78 WPM,97.9%,53,5/5,"March 2, 2021",
861,1849,72 WPM,96.9%,60,2/5,"March 2, 2021",
862,1848,78 WPM,96.6%,69,1/5,"March 2, 2021",
863,1847,71 WPM,96.8%,65,3/5,"March 2, 2021",
864,1846,76 WPM,96.9%,39,4/5,"March 2, 2021",
865,1845,82 WPM,97.2%,52,2/5,"March 2, 2021",
866,1844,76 WPM,96.9%,51,3/5,"March 2, 2021",
867,1843,74 WPM,96.6%,67,4/4,"March 2, 2021",
868,1842,70 WPM,95.8%,56,5/5,"March 2, 2021",
869,1841,76 WPM,96.1%,69,4/5,"March 2, 2021",
870,1840,77 WPM,97.7%,42,1/5,"March 2, 2021",
871,1839,67 WPM,95.6%,48,2/5,"March 2, 2021",
872,1838,73 WPM,96.3%,70,5/5,"March 2, 2021",
873,1837,81 WPM,98.5%,80,1/3,"March 2, 2021",
874,1836,74 WPM,96.2%,93,1/5,"March 2, 2021",
875,1835,81 WPM,97.6%,75,1/5,"March 1, 2021",
876,1834,80 WPM,97.6%,59,1/5,"March 1, 2021",
877,1833,76 WPM,96.5%,85,4/5,"March 1, 2021",
878,1832,76 WPM,96.9%,37,2/4,"March 1, 2021",
879,1831,80 WPM,98.4%,71,1/5,"March 1, 2021",
880,1830,79 WPM,98.6%,34,1/4,"March 1, 2021",
881,1829,81 WPM,97.4%,68,4/5,"March 1, 2021",
882,1828,72 WPM,95.6%,66,1/5,"March 1, 2021",
883,1827,72 WPM,96.3%,99,3/4,"March 1, 2021",
884,1826,75 WPM,96.5%,65,3/4,"March 1, 2021",
885,1825,78 WPM,98.0%,60,3/5,"March 1, 2021",
886,1824,81 WPM,97.9%,84,2/5,"March 1, 2021",
887,1823,72 WPM,95.5%,60,5/5,"March 1, 2021",
888,1822,74 WPM,96.9%,90,2/5,"March 1, 2021",
889,1821,80 WPM,97.9%,70,2/5,"March 1, 2021",
890,1820,73 WPM,96.7%,75,4/5,"March 1, 2021",
891,1819,72 WPM,96.2%,57,4/4,"March 1, 2021",
892,1818,82 WPM,97.1%,18,2/5,"March 1, 2021",
893,1817,88 WPM,97.8%,51,3/5,"Feb. 28, 2021",
894,1816,82 WPM,98.7%,44,1/5,"Feb. 28, 2021",
895,1815,80 WPM,97.3%,104,1/5,"Feb. 28, 2021",
896,1814,72 WPM,95.9%,65,2/5,"Feb. 28, 2021",
897,1813,80 WPM,97.3%,44,5/5,"Feb. 28, 2021",
898,1812,86 WPM,98.7%,66,4/5,"Feb. 28, 2021",
899,1811,72 WPM,97.5%,53,1/5,"Feb. 28, 2021",
900,1810,79 WPM,98.4%,48,1/5,"Feb. 28, 2021",
901,1809,70 WPM,96.9%,101,4/5,"Feb. 28, 2021",
902,1808,86 WPM,98.1%,138,3/5,"Feb. 28, 2021",
903,1807,75 WPM,98.2%,49,3/5,"Feb. 28, 2021",
904,1806,77 WPM,96.9%,31,4/5,"Feb. 28, 2021",
905,1805,81 WPM,96.4%,49,4/4,"Feb. 28, 2021",
906,1804,78 WPM,97.5%,52,2/5,"Feb. 28, 2021",
907,1803,86 WPM,98.7%,63,1/5,"Feb. 28, 2021",
908,1802,81 WPM,99.4%,40,4/5,"Feb. 28, 2021",
909,1801,79 WPM,98.1%,33,1/5,"Feb. 28, 2021",
910,1800,75 WPM,98.2%,55,1/4,"Feb. 28, 2021",
911,1799,78 WPM,97.8%,33,3/5,"Feb. 28, 2021",
912,1798,73 WPM,98.0%,34,1/5,"Feb. 28, 2021",
913,1797,79 WPM,97.5%,44,1/5,"Feb. 28, 2021",
914,1796,82 WPM,98.7%,72,1/5,"Feb. 28, 2021",
915,1795,88 WPM,100.0%,53,1/5,"Feb. 28, 2021",
916,1794,71 WPM,96.7%,80,3/5,"Feb. 28, 2021",
917,1793,73 WPM,96.9%,43,3/5,"Feb. 28, 2021",
918,1792,73 WPM,97.0%,50,3/5,"Feb. 28, 2021",
919,1791,74 WPM,96.6%,44,5/5,"Feb. 28, 2021",
920,1790,69 WPM,96.8%,77,1/5,"Feb. 28, 2021",
921,1789,78 WPM,97.2%,67,2/5,"Feb. 28, 2021",
922,1788,65 WPM,96.8%,53,2/5,"Feb. 28, 2021",
923,1787,76 WPM,97.6%,73,2/5,"Feb. 28, 2021",
924,1786,74 WPM,97.3%,36,3/5,"Feb. 28, 2021",
925,1785,74 WPM,96.8%,65,2/5,"Feb. 28, 2021",
926,1784,66 WPM,95.9%,42,2/5,"Feb. 28, 2021",
927,1783,71 WPM,96.5%,39,2/4,"Feb. 28, 2021",
928,1782,73 WPM,98.1%,32,3/4,"Feb. 28, 2021",
929,1781,82 WPM,99.1%,30,3/5,"Feb. 28, 2021",
930,1780,71 WPM,94.9%,47,3/4,"Feb. 28, 2021",
931,1779,82 WPM,98.5%,107,4/5,"Feb. 28, 2021",
932,1778,77 WPM,98.7%,76,3/5,"Feb. 28, 2021",
933,1777,63 WPM,96.0%,9,4/5,"Feb. 28, 2021",
934,1776,74 WPM,96.6%,60,3/5,"Feb. 28, 2021",
935,1775,77 WPM,98.0%,58,1/4,"Feb. 28, 2021",
936,1774,74 WPM,96.9%,59,1/5,"Feb. 28, 2021",
937,1773,80 WPM,98.1%,78,1/4,"Feb. 28, 2021",
938,1772,74 WPM,97.8%,53,1/4,"Feb. 28, 2021",
939,1771,72 WPM,96.3%,48,2/5,"Feb. 28, 2021",
940,1770,66 WPM,95.7%,43,4/5,"Feb. 28, 2021",
941,1769,72 WPM,96.8%,115,1/5,"Feb. 26, 2021",
942,1768,70 WPM,96.0%,31,1/4,"Feb. 26, 2021",
943,1767,68 WPM,96.2%,101,4/4,"Feb. 26, 2021",
944,1766,75 WPM,99.0%,46,1/5,"Feb. 26, 2021",
945,1765,63 WPM,97.2%,73,1/5,"Feb. 26, 2021",
946,1764,70 WPM,96.3%,43,1/4,"Feb. 25, 2021",
947,1763,78 WPM,96.9%,66,1/4,"Feb. 25, 2021",
948,1762,72 WPM,96.7%,70,2/5,"Feb. 25, 2021",
949,1761,84 WPM,98.1%,42,2/5,"Feb. 25, 2021",
950,1760,69 WPM,95.1%,71,4/4,"Feb. 25, 2021",
951,1759,75 WPM,95.3%,53,3/4,"Feb. 25, 2021",
952,1758,74 WPM,96.3%,87,1/3,"Feb. 25, 2021",
953,1757,70 WPM,96.7%,55,5/5,"Feb. 25, 2021",
954,1756,69 WPM,96.0%,39,4/5,"Feb. 25, 2021",
955,1755,69 WPM,95.9%,65,4/5,"Feb. 25, 2021",
956,1754,77 WPM,96.7%,69,3/5,"Feb. 25, 2021",
957,1753,80 WPM,96.3%,65,2/5,"Feb. 25, 2021",
958,1752,77 WPM,97.3%,125,3/4,"Feb. 25, 2021",
959,1751,80 WPM,97.6%,75,2/5,"Feb. 25, 2021",
960,1750,77 WPM,96.7%,39,3/5,"Feb. 25, 2021",
961,1749,72 WPM,97.0%,35,1/5,"Feb. 25, 2021",
962,1748,88 WPM,99.0%,76,1/5,"Feb. 25, 2021",
963,1747,75 WPM,97.0%,89,1/4,"Feb. 25, 2021",
964,1746,80 WPM,97.1%,17,4/5,"Feb. 25, 2021",
965,1745,77 WPM,96.4%,59,4/5,"Feb. 25, 2021",
966,1744,71 WPM,96.2%,31,1/5,"Feb. 25, 2021",
967,1743,73 WPM,98.0%,51,4/5,"Feb. 25, 2021",
968,1742,67 WPM,96.3%,37,3/5,"Feb. 25, 2021",
969,1741,73 WPM,96.1%,107,3/5,"Feb. 25, 2021",
970,1740,75 WPM,97.4%,39,2/5,"Feb. 25, 2021",
971,1739,67 WPM,95.3%,53,1/5,"Feb. 25, 2021",
972,1738,84 WPM,99.5%,60,3/4,"Feb. 25, 2021",
973,1737,78 WPM,97.5%,44,1/3,"Feb. 25, 2021",
974,1736,75 WPM,97.2%,54,4/5,"Feb. 25, 2021",
975,1735,74 WPM,96.9%,33,1/4,"Feb. 25, 2021",
976,1734,73 WPM,97.2%,101,3/5,"Feb. 25, 2021",
977,1733,78 WPM,96.7%,81,1/5,"Feb. 25, 2021",
978,1732,86 WPM,99.2%,72,2/5,"Feb. 25, 2021",
979,1731,73 WPM,96.6%,49,4/5,"Feb. 25, 2021",
980,1730,79 WPM,97.7%,78,1/4,"Feb. 25, 2021",
981,1729,69 WPM,96.9%,76,1/3,"Feb. 25, 2021",
982,1728,81 WPM,97.1%,52,3/4,"Feb. 25, 2021",
983,1727,68 WPM,97.7%,51,1/5,"Feb. 25, 2021",
984,1726,75 WPM,96.0%,70,3/5,"Feb. 25, 2021",
985,1725,70 WPM,96.7%,54,2/5,"Feb. 25, 2021",
986,1724,68 WPM,97.3%,101,1/5,"Feb. 25, 2021",
987,1723,72 WPM,96.8%,60,3/4,"Feb. 25, 2021",
988,1722,78 WPM,98.1%,68,3/5,"Feb. 25, 2021",
989,1721,76 WPM,96.6%,68,1/5,"Feb. 24, 2021",
990,1720,70 WPM,96.3%,26,3/5,"Feb. 24, 2021",
991,1719,68 WPM,95.0%,59,3/4,"Feb. 24, 2021",
992,1718,76 WPM,96.6%,46,3/5,"Feb. 24, 2021",
993,1717,90 WPM,98.3%,35,2/5,"Feb. 24, 2021",
994,1716,75 WPM,96.9%,45,4/5,"Feb. 24, 2021",
995,1715,86 WPM,97.7%,73,2/5,"Feb. 24, 2021",
996,1714,85 WPM,98.2%,62,3/5,"Feb. 24, 2021",
997,1713,83 WPM,99.2%,55,1/5,"Feb. 24, 2021",
998,1712,73 WPM,96.9%,78,1/5,"Feb. 23, 2021",
999,1711,77 WPM,96.6%,63,1/4,"Feb. 23, 2021",
1000,1710,76 WPM,96.5%,84,4/4,"Feb. 23, 2021",
1001,1709,76 WPM,97.6%,106,4/5,"Feb. 23, 2021",
1002,1708,65 WPM,96.9%,33,2/4,"Feb. 23, 2021",
1003,1707,73 WPM,96.0%,67,4/5,"Feb. 23, 2021",
1004,1706,67 WPM,94.9%,53,4/5,"Feb. 23, 2021",
1005,1705,76 WPM,97.5%,39,3/5,"Feb. 22, 2021",
1006,1704,79 WPM,95.8%,60,4/5,"Feb. 22, 2021",
1007,1703,73 WPM,95.7%,49,2/5,"Feb. 22, 2021",
1008,1702,70 WPM,95.1%,36,3/5,"Feb. 22, 2021",
1009,1701,79 WPM,97.5%,52,1/4,"Feb. 22, 2021",
1010,1700,77 WPM,97.3%,46,2/5,"Feb. 22, 2021",
1011,1699,81 WPM,97.7%,57,3/5,"Feb. 22, 2021",
1012,1698,74 WPM,96.3%,65,3/4,"Feb. 22, 2021",
1013,1697,81 WPM,100.0%,52,1/5,"Feb. 22, 2021",
1014,1696,67 WPM,94.7%,61,3/5,"Feb. 22, 2021",
1015,1695,73 WPM,96.8%,139,2/5,"Feb. 21, 2021",
1016,1694,79 WPM,98.2%,25,2/5,"Feb. 21, 2021",
1017,1693,85 WPM,97.7%,90,4/4,"Feb. 21, 2021",
1018,1692,83 WPM,98.0%,56,2/4,"Feb. 21, 2021",
1019,1691,72 WPM,94.3%,34,3/5,"Feb. 21, 2021",
1020,1690,75 WPM,96.5%,36,3/5,"Feb. 21, 2021",
1021,1689,74 WPM,97.5%,64,4/5,"Feb. 21, 2021",
1022,1688,77 WPM,96.3%,115,2/4,"Feb. 21, 2021",
1023,1687,78 WPM,96.7%,116,4/5,"Feb. 21, 2021",
1024,1686,75 WPM,99.1%,25,1/5,"Feb. 21, 2021",
1025,1685,74 WPM,97.7%,60,2/5,"Feb. 21, 2021",
1026,1684,73 WPM,97.7%,92,2/4,"Feb. 21, 2021",
1027,1683,69 WPM,96.7%,40,3/4,"Feb. 21, 2021",
1028,1682,71 WPM,96.9%,45,1/5,"Feb. 19, 2021",
1029,1681,89 WPM,98.5%,59,1/5,"Feb. 19, 2021",
1030,1680,77 WPM,96.1%,55,3/4,"Feb. 19, 2021",
1031,1679,80 WPM,97.1%,63,1/4,"Feb. 19, 2021",
1032,1678,74 WPM,97.3%,58,2/4,"Feb. 19, 2021",
1033,1677,71 WPM,96.2%,69,1/5,"Feb. 19, 2021",
1034,1676,84 WPM,97.6%,74,1/5,"Feb. 19, 2021",
1035,1675,73 WPM,97.8%,39,2/5,"Feb. 19, 2021",
1036,1674,76 WPM,96.0%,46,4/5,"Feb. 19, 2021",
1037,1673,75 WPM,96.2%,60,4/5,"Feb. 19, 2021",
1038,1672,76 WPM,98.0%,75,4/5,"Feb. 19, 2021",
1039,1671,76 WPM,96.4%,39,4/5,"Feb. 19, 2021",
1040,1670,73 WPM,96.9%,92,4/5,"Feb. 19, 2021",
1041,1669,89 WPM,99.0%,33,1/4,"Feb. 19, 2021",
1042,1668,79 WPM,98.1%,79,2/5,"Feb. 19, 2021",
1043,1667,81 WPM,98.7%,52,1/4,"Feb. 19, 2021",
1044,1666,74 WPM,98.0%,52,4/5,"Feb. 17, 2021",
1045,1665,84 WPM,98.1%,67,1/5,"Feb. 17, 2021",
1046,1664,73 WPM,96.3%,89,3/5,"Feb. 17, 2021",
1047,1663,76 WPM,97.7%,83,4/5,"Feb. 17, 2021",
1048,1662,78 WPM,98.2%,47,1/5,"Feb. 17, 2021",
1049,1661,78 WPM,97.1%,52,4/5,"Feb. 17, 2021",
1050,1660,76 WPM,98.1%,56,1/5,"Feb. 17, 2021",
1051,1659,70 WPM,96.3%,92,2/5,"Feb. 17, 2021",
1052,1658,80 WPM,98.5%,67,2/5,"Feb. 17, 2021",
1053,1657,76 WPM,97.4%,93,2/4,"Feb. 17, 2021",
1054,1656,79 WPM,97.3%,47,3/5,"Feb. 17, 2021",
1055,1655,71 WPM,96.9%,73,4/5,"Feb. 17, 2021",
1056,1654,70 WPM,97.8%,126,5/5,"Feb. 17, 2021",
1057,1653,76 WPM,97.4%,49,4/4,"Feb. 16, 2021",
1058,1652,83 WPM,97.0%,54,3/5,"Feb. 16, 2021",
1059,1651,76 WPM,98.3%,48,3/5,"Feb. 16, 2021",
1060,1650,73 WPM,97.4%,72,4/5,"Feb. 16, 2021",
1061,1649,84 WPM,98.5%,52,1/4,"Feb. 16, 2021",
1062,1648,73 WPM,97.2%,45,5/5,"Feb. 16, 2021",
1063,1647,71 WPM,95.7%,34,3/5,"Feb. 16, 2021",
1064,1646,71 WPM,96.1%,95,4/5,"Feb. 16, 2021",
1065,1645,85 WPM,98.1%,56,1/5,"Feb. 16, 2021",
1066,1644,79 WPM,97.7%,53,1/5,"Feb. 16, 2021",
1067,1643,80 WPM,96.7%,49,4/5,"Feb. 16, 2021",
1068,1642,79 WPM,97.7%,54,4/5,"Feb. 16, 2021",
1069,1641,79 WPM,97.7%,32,3/5,"Feb. 16, 2021",
1070,1640,79 WPM,98.1%,49,2/5,"Feb. 16, 2021",
1071,1639,79 WPM,98.7%,50,2/5,"Feb. 16, 2021",
1072,1638,74 WPM,96.8%,68,4/5,"Feb. 16, 2021",
1073,1637,72 WPM,98.5%,41,3/5,"Feb. 16, 2021",
1074,1636,74 WPM,97.8%,70,3/4,"Feb. 16, 2021",
1075,1635,74 WPM,97.2%,99,3/3,"Feb. 16, 2021",
1076,1634,76 WPM,98.9%,71,1/3,"Feb. 16, 2021",
1077,1633,71 WPM,96.4%,44,3/5,"Feb. 16, 2021",
1078,1632,90 WPM,98.0%,55,4/5,"Feb. 16, 2021",
1079,1631,71 WPM,97.1%,88,1/4,"Feb. 16, 2021",
1080,1630,69 WPM,97.1%,43,1/4,"Feb. 16, 2021",
1081,1629,75 WPM,97.5%,73,4/5,"Feb. 16, 2021",
1082,1628,84 WPM,98.9%,71,1/5,"Feb. 16, 2021",
1083,1627,78 WPM,97.8%,63,3/5,"Feb. 16, 2021",
1084,1626,80 WPM,96.7%,63,4/5,"Feb. 16, 2021",
1085,1625,90 WPM,100.0%,72,1/5,"Feb. 16, 2021",
1086,1624,68 WPM,95.7%,59,1/5,"Feb. 16, 2021",
1087,1623,71 WPM,95.5%,46,3/5,"Feb. 16, 2021",
1088,1622,75 WPM,97.2%,47,3/5,"Feb. 16, 2021",
1089,1621,80 WPM,96.4%,43,1/5,"Feb. 16, 2021",
1090,1620,74 WPM,97.7%,60,2/4,"Feb. 16, 2021",
1091,1619,82 WPM,98.1%,35,1/5,"Feb. 16, 2021",
1092,1618,77 WPM,96.5%,40,3/5,"Feb. 16, 2021",
1093,1617,75 WPM,96.5%,86,2/4,"Feb. 16, 2021",
1094,1616,73 WPM,97.3%,63,3/5,"Feb. 16, 2021",
1095,1615,75 WPM,96.7%,60,3/5,"Feb. 16, 2021",
1096,1614,74 WPM,96.6%,55,2/5,"Feb. 16, 2021",
1097,1613,83 WPM,98.6%,21,2/4,"Feb. 16, 2021",
1098,1612,72 WPM,96.0%,96,2/5,"Feb. 16, 2021",
1099,1611,75 WPM,95.9%,80,1/5,"Feb. 16, 2021",
1100,1610,75 WPM,97.3%,40,1/5,"Feb. 16, 2021",
1101,1609,92 WPM,98.5%,57,2/5,"Feb. 16, 2021",
1102,1608,80 WPM,97.1%,41,2/4,"Feb. 16, 2021",
1103,1607,74 WPM,96.3%,109,4/5,"Feb. 16, 2021",
1104,1606,72 WPM,94.5%,31,3/5,"Feb. 16, 2021",
1105,1605,74 WPM,96.0%,95,1/5,"Feb. 16, 2021",
1106,1604,73 WPM,96.0%,98,1/4,"Feb. 16, 2021",
1107,1603,78 WPM,98.6%,57,1/5,"Feb. 16, 2021",
1108,1602,70 WPM,95.7%,101,1/5,"Feb. 16, 2021",
1109,1601,85 WPM,97.4%,62,2/4,"Feb. 16, 2021",
1110,1600,86 WPM,98.7%,52,1/5,"Feb. 16, 2021",
1111,1599,76 WPM,96.6%,113,2/5,"Feb. 16, 2021",
1112,1598,78 WPM,95.5%,56,1/5,"Feb. 16, 2021",
1113,1597,73 WPM,96.3%,130,4/5,"Feb. 16, 2021",
1114,1596,73 WPM,95.2%,53,4/4,"Feb. 16, 2021",
1115,1595,70 WPM,95.5%,79,1/5,"Feb. 16, 2021",
1116,1594,75 WPM,96.2%,57,5/5,"Feb. 16, 2021",
1117,1593,82 WPM,97.8%,64,1/4,"Feb. 16, 2021",
1118,1592,66 WPM,95.3%,42,1/5,"Feb. 16, 2021",
1119,1591,82 WPM,97.8%,60,1/5,"Feb. 16, 2021",
1120,1590,79 WPM,97.1%,126,1/5,"Feb. 16, 2021",
1121,1589,72 WPM,96.5%,40,1/5,"Feb. 16, 2021",
1122,1588,72 WPM,96.0%,83,2/4,"Feb. 15, 2021",
1123,1587,69 WPM,96.1%,68,1/5,"Feb. 15, 2021",
1124,1586,79 WPM,97.1%,69,3/5,"Feb. 15, 2021",
1125,1585,73 WPM,96.6%,74,2/5,"Feb. 15, 2021",
1126,1584,71 WPM,96.2%,118,1/4,"Feb. 15, 2021",
1127,1583,72 WPM,97.3%,47,1/4,"Feb. 15, 2021",
1128,1582,73 WPM,96.2%,38,1/5,"Feb. 15, 2021",
1129,1581,70 WPM,95.5%,53,2/5,"Feb. 15, 2021",
1130,1580,74 WPM,97.0%,69,3/5,"Feb. 11, 2021",
1131,1579,78 WPM,97.5%,73,1/5,"Feb. 11, 2021",
1132,1578,75 WPM,96.3%,49,1/5,"Feb. 11, 2021",
1133,1577,73 WPM,97.6%,24,1/5,"Feb. 11, 2021",
1134,1576,72 WPM,96.4%,83,2/4,"Feb. 11, 2021",
1135,1575,74 WPM,96.3%,36,2/5,"Feb. 11, 2021",
1136,1574,68 WPM,95.5%,59,3/5,"Feb. 11, 2021",
1137,1573,76 WPM,97.6%,102,1/5,"Feb. 11, 2021",
1138,1572,71 WPM,95.6%,55,3/5,"Feb. 11, 2021",
1139,1571,81 WPM,98.1%,74,1/5,"Feb. 11, 2021",
1140,1570,75 WPM,97.0%,137,1/4,"Feb. 11, 2021",
1141,1569,70 WPM,96.3%,58,3/5,"Feb. 11, 2021",
1142,1568,74 WPM,96.9%,78,1/5,"Feb. 11, 2021",
1143,1567,67 WPM,95.7%,26,1/4,"Feb. 11, 2021",
1144,1566,67 WPM,96.4%,33,3/5,"Feb. 11, 2021",
1145,1565,77 WPM,96.2%,51,2/5,"Feb. 11, 2021",
1146,1564,75 WPM,96.8%,122,2/4,"Feb. 11, 2021",
1147,1563,70 WPM,95.7%,72,3/5,"Feb. 11, 2021",
1148,1562,81 WPM,98.8%,61,2/4,"Feb. 11, 2021",
1149,1561,68 WPM,95.5%,51,4/5,"Feb. 11, 2021",
1150,1560,78 WPM,96.0%,30,2/5,"Feb. 11, 2021",
1151,1559,77 WPM,96.7%,45,4/5,"Feb. 11, 2021",
1152,1558,71 WPM,97.2%,65,3/4,"Feb. 11, 2021",
1153,1557,73 WPM,95.9%,59,3/3,"Feb. 11, 2021",
1154,1556,85 WPM,98.2%,78,1/5,"Feb. 11, 2021",
1155,1555,76 WPM,95.9%,76,3/5,"Feb. 11, 2021",
1156,1554,81 WPM,97.0%,77,2/5,"Feb. 11, 2021",
1157,1553,75 WPM,94.8%,50,2/5,"Feb. 11, 2021",
1158,1552,74 WPM,96.6%,106,3/5,"Feb. 11, 2021",
1159,1551,69 WPM,96.0%,48,3/4,"Feb. 11, 2021",
1160,1550,84 WPM,96.9%,45,1/5,"Feb. 11, 2021",
1161,1549,82 WPM,96.3%,52,4/5,"Feb. 11, 2021",
1162,1548,72 WPM,95.4%,26,2/4,"Feb. 11, 2021",
1163,1547,73 WPM,97.2%,53,3/5,"Feb. 11, 2021",
1164,1546,78 WPM,96.0%,82,2/5,"Feb. 11, 2021",
1165,1545,77 WPM,96.7%,64,1/4,"Feb. 11, 2021",
1166,1544,71 WPM,96.7%,64,2/5,"Feb. 11, 2021",
1167,1543,75 WPM,97.4%,56,2/5,"Feb. 11, 2021",
1168,1542,78 WPM,98.1%,59,4/5,"Feb. 11, 2021",
1169,1541,71 WPM,96.0%,145,3/4,"Feb. 10, 2021",
1170,1540,71 WPM,96.5%,41,3/5,"Feb. 10, 2021",
1171,1539,77 WPM,99.4%,40,1/4,"Feb. 10, 2021",
1172,1538,70 WPM,96.7%,55,3/3,"Feb. 10, 2021",
1173,1537,74 WPM,97.3%,76,4/5,"Feb. 9, 2021",
1174,1536,72 WPM,96.6%,116,1/3,"Feb. 9, 2021",
1175,1535,75 WPM,96.8%,93,2/5,"Feb. 9, 2021",
1176,1534,76 WPM,97.1%,122,2/3,"Feb. 9, 2021",
1177,1533,76 WPM,96.6%,55,4/5,"Feb. 9, 2021",
1178,1532,73 WPM,97.2%,67,3/5,"Feb. 9, 2021",
1179,1531,68 WPM,96.0%,49,5/5,"Feb. 9, 2021",
1180,1530,72 WPM,95.8%,49,3/5,"Feb. 9, 2021",
1181,1529,72 WPM,96.7%,68,5/5,"Feb. 9, 2021",
1182,1528,76 WPM,96.1%,67,2/5,"Feb. 9, 2021",
1183,1527,81 WPM,97.9%,78,1/5,"Feb. 9, 2021",
1184,1526,76 WPM,97.0%,91,4/4,"Feb. 9, 2021",
1185,1525,77 WPM,96.2%,35,3/5,"Feb. 9, 2021",
1186,1524,64 WPM,94.1%,53,4/5,"Feb. 9, 2021",
1187,1523,76 WPM,96.6%,104,2/5,"Feb. 9, 2021",
1188,1522,76 WPM,95.3%,55,3/5,"Feb. 9, 2021",
1189,1521,76 WPM,97.1%,52,2/5,"Feb. 9, 2021",
1190,1520,76 WPM,96.6%,54,2/5,"Feb. 9, 2021",
1191,1519,81 WPM,96.2%,60,1/4,"Feb. 9, 2021",
1192,1518,66 WPM,96.0%,46,2/5,"Feb. 5, 2021",
1193,1517,60 WPM,95.3%,30,4/5,"Feb. 5, 2021",
1194,1516,72 WPM,95.8%,35,5/5,"Feb. 5, 2021",
1195,1515,74 WPM,95.7%,52,4/5,"Feb. 5, 2021",
1196,1514,82 WPM,97.3%,46,3/5,"Feb. 5, 2021",
1197,1513,85 WPM,98.4%,42,2/5,"Feb. 5, 2021",
1198,1512,81 WPM,97.4%,113,2/4,"Feb. 5, 2021",
1199,1511,81 WPM,97.4%,62,1/4,"Feb. 4, 2021",
1200,1510,78 WPM,97.5%,71,2/5,"Feb. 4, 2021",
1201,1509,79 WPM,98.5%,63,1/2,"Feb. 4, 2021",
1202,1508,80 WPM,96.9%,41,1/5,"Feb. 4, 2021",
1203,1507,70 WPM,95.7%,57,4/4,"Feb. 3, 2021",
1204,1506,68 WPM,95.7%,97,2/5,"Feb. 3, 2021",
1205,1505,75 WPM,96.5%,61,1/5,"Feb. 3, 2021",
1206,1504,81 WPM,97.7%,91,1/4,"Feb. 3, 2021",
1207,1503,71 WPM,95.6%,56,1/5,"Feb. 3, 2021",
1208,1502,80 WPM,97.7%,43,2/5,"Feb. 3, 2021",
1209,1501,68 WPM,95.9%,55,2/3,"Feb. 3, 2021",
1210,1500,75 WPM,95.7%,51,1/5,"Feb. 3, 2021",
1211,1499,73 WPM,96.4%,56,3/5,"Feb. 3, 2021",
1212,1498,76 WPM,98.8%,34,5/5,"Feb. 2, 2021",
1213,1497,64 WPM,94.7%,33,5/5,"Feb. 2, 2021",
1214,1496,75 WPM,96.6%,50,3/5,"Feb. 1, 2021",
1215,1495,81 WPM,97.6%,56,5/5,"Feb. 1, 2021",
1216,1494,68 WPM,96.7%,50,5/5,"Feb. 1, 2021",
1217,1493,74 WPM,96.7%,83,1/5,"Feb. 1, 2021",
1218,1492,89 WPM,98.2%,46,3/5,"Feb. 1, 2021",
1219,1491,70 WPM,96.9%,66,3/5,"Feb. 1, 2021",
1220,1490,74 WPM,97.2%,42,5/5,"Feb. 1, 2021",
1221,1489,65 WPM,95.6%,38,1/4,"Feb. 1, 2021",
1222,1488,70 WPM,95.7%,46,3/5,"Feb. 1, 2021",
1223,1487,74 WPM,95.9%,60,3/5,"Feb. 1, 2021",
1224,1486,74 WPM,96.8%,36,1/5,"Feb. 1, 2021",
1225,1485,74 WPM,96.8%,62,5/5,"Feb. 1, 2021",
1226,1484,75 WPM,97.4%,70,1/4,"Feb. 1, 2021",
1227,1483,70 WPM,96.9%,62,3/5,"Feb. 1, 2021",
1228,1482,77 WPM,96.9%,55,5/5,"Feb. 1, 2021",
1229,1481,84 WPM,98.2%,70,1/5,"Feb. 1, 2021",
1230,1480,78 WPM,96.0%,64,2/5,"Feb. 1, 2021",
1231,1479,75 WPM,97.8%,65,3/5,"Feb. 1, 2021",
1232,1478,84 WPM,97.3%,88,1/3,"Feb. 1, 2021",
1233,1477,80 WPM,97.8%,58,3/5,"Feb. 1, 2021",
1234,1476,83 WPM,97.0%,59,3/5,"Feb. 1, 2021",
1235,1475,81 WPM,96.6%,54,1/5,"Feb. 1, 2021",
1236,1474,78 WPM,96.4%,32,3/3,"Feb. 1, 2021",
1237,1473,74 WPM,96.8%,74,1/5,"Feb. 1, 2021",
1238,1472,79 WPM,99.1%,55,4/5,"Feb. 1, 2021",
1239,1471,73 WPM,96.3%,41,2/4,"Feb. 1, 2021",
1240,1470,75 WPM,97.3%,84,2/5,"Jan. 31, 2021",
1241,1469,89 WPM,98.8%,44,2/5,"Jan. 31, 2021",
1242,1468,80 WPM,96.7%,53,2/5,"Jan. 31, 2021",
1243,1467,80 WPM,97.5%,91,4/5,"Jan. 31, 2021",
1244,1466,75 WPM,97.1%,70,4/5,"Jan. 31, 2021",
1245,1465,73 WPM,96.7%,47,3/5,"Jan. 31, 2021",
1246,1464,71 WPM,96.7%,46,4/5,"Jan. 31, 2021",
1247,1463,84 WPM,98.1%,71,1/5,"Jan. 31, 2021",
1248,1462,73 WPM,96.5%,128,3/4,"Jan. 31, 2021",
1249,1461,82 WPM,97.9%,49,2/5,"Jan. 31, 2021",
1250,1460,85 WPM,99.0%,58,2/5,"Jan. 31, 2021",
