,Race History
,Race #,Speed,Accuracy,Points,Place,Date,Options
275,2435,87 WPM,97.8%,71,1/5,"May 26, 2021",
276,2434,78 WPM,96.9%,75,1/5,"May 22, 2021",
277,2433,80 WPM,97.6%,55,4/5,"May 22, 2021",
278,2432,83 WPM,97.7%,122,3/5,"May 22, 2021",
279,2431,76 WPM,97.3%,64,3/5,"May 21, 2021",
280,2430,82 WPM,98.3%,64,4/5,"May 20, 2021",
281,2429,80 WPM,97.1%,77,2/5,"May 20, 2021",
282,2428,91 WPM,98.0%,41,1/5,"May 19, 2021",
283,2427,84 WPM,98.2%,104,3/5,"May 19, 2021",
284,2426,77 WPM,97.2%,74,1/5,"May 19, 2021",
285,2425,79 WPM,97.6%,90,4/4,"May 19, 2021",
286,2424,84 WPM,97.0%,73,1/5,"May 19, 2021",
287,2423,78 WPM,96.1%,64,3/5,"May 19, 2021",
288,2422,84 WPM,96.9%,72,3/5,"May 19, 2021",
289,2421,90 WPM,97.6%,63,5/5,"May 19, 2021",
290,2420,79 WPM,97.4%,83,2/5,"May 19, 2021",
291,2419,77 WPM,96.5%,51,3/5,"May 19, 2021",
292,2418,90 WPM,97.4%,60,1/5,"May 19, 2021",
293,2417,82 WPM,96.9%,35,2/5,"May 19, 2021",
294,2416,75 WPM,98.7%,52,4/4,"May 19, 2021",
295,2415,81 WPM,97.9%,63,3/5,"May 19, 2021",
296,2414,77 WPM,96.9%,44,1/5,"May 19, 2021",
297,2413,74 WPM,96.6%,47,3/5,"May 19, 2021",
298,2412,78 WPM,97.0%,44,1/4,"May 19, 2021",
299,2411,88 WPM,98.4%,51,3/5,"May 19, 2021",
300,2410,74 WPM,96.7%,56,2/5,"May 19, 2021",
301,2409,82 WPM,97.5%,71,5/5,"May 19, 2021",
302,2408,83 WPM,97.1%,74,3/5,"May 18, 2021",
303,2407,83 WPM,97.8%,123,3/4,"May 18, 2021",
304,2406,82 WPM,98.1%,74,3/5,"May 18, 2021",
305,2405,86 WPM,98.1%,60,2/5,"May 18, 2021",
306,2404,80 WPM,97.0%,70,3/5,"May 18, 2021",
307,2403,84 WPM,97.4%,32,5/5,"May 18, 2021",
308,2402,92 WPM,97.7%,54,3/5,"May 18, 2021",
309,2401,83 WPM,97.9%,75,1/5,"May 18, 2021",
310,2400,85 WPM,97.3%,43,1/3,"May 18, 2021",
311,2399,85 WPM,97.7%,139,5/5,"May 18, 2021",
312,2398,86 WPM,98.5%,85,2/5,"May 18, 2021",
313,2397,80 WPM,97.4%,83,1/4,"May 18, 2021",
314,2396,83 WPM,97.7%,40,5/5,"May 18, 2021",
315,2395,85 WPM,97.7%,70,1/5,"May 18, 2021",
316,2394,82 WPM,96.1%,77,3/5,"May 18, 2021",
317,2393,78 WPM,97.3%,94,3/4,"May 16, 2021",
318,2392,79 WPM,96.9%,77,3/5,"May 16, 2021",
